#,Simulation_Time,Task-clock/msec,context-switches,cpu-migrations,page-faults,cycles,instructions per cycle,branches,branch-misses,time_elapsed
1,10,42.68317,1655,551,136,49264316,14517621,2994089,104129,0.009700584
2,15,63.194522,2402,681,136,69506594,19487271,4034617,138366,0.012426847
3,20,82.39956,3163,878,139,90628549,24662705,5119334,175399,0.016295674
4,25,103.391417,4233,1156,136,117532411,32038502,6653532,230821,0.02565109
5,30,111.158083,4778,1236,137,134494025,36260978,7522416,253043,0.027570812
6,35,137.803888,5475,1265,137,153130128,40983896,8506430,281924,0.024162479
7,40,159.854034,6332,1617,137,175947669,47016922,9766537,330742,0.033390794
8,45,158.065044,6960,1747,136,195343009,51602032,10719872,356972,0.029010417
9,50,191.02254,7720,1996,137,212952513,56965511,11840175,387720,0.031176426
10,55,214.056322,8891,2374,136,245173032,64652132,13445802,454669,0.047780264
11,60,210.162719,9192,2204,136,254224756,66830795,13895827,449856,0.034940701
12,65,249.064122,9901,2477,138,275935569,72395427,15053371,490213,0.042145883
13,70,252.361014,11203,2733,137,306373473,80889932,16822039,556827,0.053283187
14,75,285.081121,11581,2797,137,319017920,83860428,17437603,565217,0.047432451
15,80,300.862289,12960,3361,136,354684190,93092471,19366801,644311,0.064754867
16,85,317.290074,13057,3458,137,358203674,94775333,19713394,641455,0.058513827
17,90,340.03066,14332,3864,135,392909774,103191098,21466705,710764,0.071181467
18,95,354.784727,14664,3710,137,404087833,105755013,21992386,717163,0.063751797
19,100,363.405334,15783,4038,139,432534380,112773730,23473165,770005,0.070901782
20,105,400.557622,16175,3821,135,444221030,116171510,24160184,779706,0.071093075
21,110,390.308546,17544,4450,138,471791997,124751534,25966219,840522,0.080087202
22,115,433.779044,18130,4709,137,497457691,130059853,27050951,888393,0.087803788
23,120,430.69919,18349,4453,136,505231830,131825343,27416606,875667,0.070543499
24,125,453.508128,19958,5065,136,549018391,142393184,29623835,972566,0.096869333
25,130,466.930608,20512,5477,138,558409142,146656011,30507812,999592,0.096628364
26,135,488.77905,20681,5160,137,567331927,147832055,30753994,983548,0.078449483
27,140,487.85381,22034,5742,136,599749755,156704129,32619855,1061471,0.100594164
28,145,533.43998,22726,5693,136,620805561,161932427,33688408,1104061,0.110974516
29,150,546.542184,23014,5553,138,630034846,164127654,34147130,1087806,0.087442244
30,155,542.12752,24353,6176,138,656640865,172815491,35970140,1163058,0.104437418
31,160,594.35103,25291,6388,137,686958912,179577279,37359700,1221451,0.121319765
32,165,599.803745,25632,6548,136,697378416,181895185,37853734,1200070,0.098574885
33,170,614.669369,26455,6293,137,718765172,186812842,38883601,1235666,0.100207292
34,175,641.370359,27085,6655,136,737665865,191916537,39941554,1265844,0.105500939
35,180,646.361697,27781,6971,137,759941759,197171405,41029117,1303117,0.108428148
36,185,668.78898,28610,6908,137,779176931,202229688,42088792,1336385,0.112760201
37,190,696.57471,29389,7491,135,799728526,208266156,43332659,1375338,0.117148006
38,195,691.646935,30158,7535,135,827360034,213562838,44441546,1414707,0.115326967
39,200,710.479655,30769,7649,136,841147201,217941262,45349528,1437977,0.11515927
